GeneID GeneName log2FC P.Value adj.P.Value
ENSG00000005020 SKAP2 -1.7057812216657553 2.6109673225679265e-10 3.7896032013302825e-8
ENSG00000005108 THSD7A -0.8281263028450246 1.6650298777772847e-4 0.009300453253657179
ENSG00000006468 ETV1 0.8246792169863678 1.9789774491201802e-8 2.3842151189302145e-6
ENSG00000008277 ADAM22 -2.484574914405905 1.057454559048836e-11 1.8048203599025181e-9
ENSG00000008394 MGST1 1.0565206846928579 8.825029103578373e-5 0.005213838508533979
ENSG00000011465 DCN 0.732400035541017 4.841839085547139e-4 0.024121518882132542
ENSG00000021826 CPS1 -2.054793366244323 1.7198411143553236e-8 2.099459023901436e-6
ENSG00000033122 LRRC7 -1.6897376516529599 5.0751204095680475e-12 8.909494715196936e-10
ENSG00000039139 DNAH5 -2.5647953262991363 1.4055426897589671e-5 0.0010160144470716486
ENSG00000047617 ANO2 -0.07229715251704005 0.0010276749039497264 0.04645284427694629
ENSG00000047662 FAM184B -2.0679324614163725 6.722717274715346e-33 5.632720342037635e-30
ENSG00000048052 HDAC9 -0.6620274543187888 8.38600868518396e-4 0.03883901962160702
ENSG00000048471 SNX29 -1.9627448831476475 4.18310053014962e-6 3.442280896082497e-4
ENSG00000049130 KITLG 0.9410812045130482 5.2261114013745324e-5 0.0032407061684267984
ENSG00000049323 LTBP1 -0.7979706456190249 0.0010112751809327899 0.046140681708252765
ENSG00000049759 NEDD4L -0.7316936032619357 0.0010647664980704282 0.04787034355837123
ENSG00000054392 HHAT -2.517583148773189 1.6948376191001677e-19 5.680171242340616e-17
ENSG00000057657 PRDM1 1.1176779091905977 1.4650404496259614e-5 0.001048289457065922
ENSG00000058091 CDK14 -1.8555675582249276 6.0884731960133206e-15 1.4388311079758145e-12
ENSG00000065320 NTN1 -0.8245029662726466 1.1316079397229597e-12 2.172805120095137e-10
ENSG00000065413 ANKRD44 -0.8689292677480388 2.7775250799373407e-5 0.001861749810854
ENSG00000065534 MYLK -0.6804164927374536 7.091083157930826e-4 0.034039045794307006
ENSG00000067141 NEO1 -1.776127023497739 3.4408355034994403e-18 1.0935331178621584e-15
ENSG00000067715 SYT1 -2.026127934643068 2.5171371161745717e-10 3.6824117827337996e-8
ENSG00000067798 NAV3 -0.8265675079967307 2.3321504907299742e-4 0.012606607036840356
ENSG00000069188 SDK2 -3.3140588541907388 1.0391909780493398e-20 3.831081459676696e-18
ENSG00000070404 FSTL3 -0.7382861343630904 4.125670659599807e-4 0.02094999649267307
ENSG00000071242 RPS6KA2 -1.8541784203885805 2.897163942400074e-14 6.357550351221497e-12
ENSG00000073910 FRY -1.5057110333784138 2.9224661363602328e-5 0.0019518050105626148
ENSG00000075884 ARHGAP15 -0.8020491040615577 7.500265940961219e-4 0.03526846992085157
ENSG00000078053 AMPH -1.8456370983553172 1.788496265106017e-29 1.2679750636422774e-26
ENSG00000080224 EPHA6 -3.86923875939378 8.061105639349242e-8 9.229214922367986e-6
ENSG00000080573 COL5A3 -0.6261003935457201 1.1591370786131382e-5 8.615473294385475e-4
ENSG00000081803 CADPS2 -4.661449825378231 4.579963545048536e-21 1.835271044040862e-18
ENSG00000082781 ITGB5 -0.7458964203095595 6.774974573759184e-5 0.004107996918358652
ENSG00000084636 COL16A1 -0.5915391093194483 1.181743668353314e-4 0.006871634397084113
ENSG00000087301 TXNDC16 -0.8800435280374981 8.128737706000268e-5 0.00489663471028441
ENSG00000088387 DOCK9 -1.0446167442845724 1.6799782192563267e-4 0.009355600759985459
ENSG00000090382 LYZ 2.22113192605325 1.7045806609397052e-6 1.4682493141636256e-4
ENSG00000090530 P3H2 -1.8702561356157303 2.9718765048190696e-23 1.3695149903332476e-20
ENSG00000091129 NRCAM -1.5028572190231668 1.4672526442955995e-5 0.001048289457065922
ENSG00000091157 WDR7 -0.8813733356065858 3.839237458498929e-4 0.0196579622423641
ENSG00000091622 PITPNM3 -0.7427643739466153 8.216670279672818e-4 0.03824694021848714
ENSG00000099139 PCSK5 -1.0049659588870228 1.0507017365872273e-7 1.1579810605393085e-5
ENSG00000099219 ERMP1 -1.4579638819745304 1.486556238058412e-14 3.3416696507476473e-12
ENSG00000100154 TTC28 -2.098066026561873 1.3053296104415994e-6 1.1403384222402846e-4
ENSG00000100867 DHRS2 3.0378144139910708 8.610248032295586e-6 6.531386912728581e-4
ENSG00000101265 RASSF2 0.8510770658499982 6.918028644087448e-4 0.03338220471111621
ENSG00000101335 MYL9 -0.9267258485292201 2.3341155365934477e-10 3.441980134882162e-8
ENSG00000101353 MROH8 -1.9316572057955634 7.808195067683667e-6 5.99701915344221e-4
ENSG00000101638 ST8SIA5 -1.0283664234654848 9.702135584293297e-12 1.6713968712642837e-9
ENSG00000101670 LIPG -0.8490239879592527 2.986704846264355e-4 0.015596014286456333
ENSG00000101846 STS -2.2891129814847715 9.956145085515379e-24 4.705682624648846e-21
ENSG00000102053 ZC3H12B -5.633313920169915 3.337316663087943e-7 3.307352583370971e-5
ENSG00000102359 SRPX2 -0.6949261548552066 1.650000227714847e-5 0.0011697866999026067
ENSG00000102763 VWA8 -1.4352444722506363 9.107229249430949e-9 1.1498188818819226e-6
ENSG00000103599 IQCH -2.616536410768439 1.2314220011521495e-4 0.007115611832989834
ENSG00000103740 ACSBG1 -1.2394546930077326 7.060811140635977e-23 3.0988555179843566e-20
ENSG00000104324 CPQ -1.265705578008716 7.22573699614115e-13 1.4169362771262746e-10
ENSG00000104723 TUSC3 -0.9775919111008307 1.5124026329649694e-8 1.8710146129827704e-6
ENSG00000105825 TFPI2 0.8647204820908734 6.171748464754266e-5 0.003788773130581961
ENSG00000105894 PTN -0.6940687915675798 2.5543034245199325e-6 2.1499303664007267e-4
ENSG00000105974 CAV1 0.6032832763228901 9.74031737909937e-5 0.005736206717218488
ENSG00000107099 DOCK8 -2.3184264692697165 8.695256238382003e-5 0.005170311556196628
ENSG00000107282 APBA1 -1.6727307627762928 2.0795096561298163e-11 3.422464418878652e-9
ENSG00000107902 LHPP -1.4677913908791085 1.2397227081407956e-14 2.821210948044356e-12
ENSG00000107984 DKK1 1.3428911565312873 5.2391387087895944e-5 0.0032407061684267984
ENSG00000108018 SORCS1 -3.5403176754634953 1.340600172820914e-108 1.2355641492803954e-104
ENSG00000108984 MAP2K6 -1.221416284277842 4.390281739925577e-7 4.2148991308358415e-5
ENSG00000109339 MAPK10 -3.1944184568670675 6.757984861647718e-7 6.259795726369466e-5
ENSG00000109667 SLC2A9 -2.242670659956411 3.5989507850401427e-4 0.018530575368895238
ENSG00000109911 ELP4 -1.2433608084913546 4.176892958300909e-6 3.442280896082497e-4
ENSG00000110328 GALNT18 -2.6005817982820667 1.2220456231866916e-5 9.010386788880115e-4
ENSG00000110799 VWF -1.7508072314463803 7.009322199377667e-7 6.396180005006364e-5
ENSG00000111110 PPM1H -1.5288493518503892 6.2456320668308275e-6 4.857625986830913e-4
ENSG00000112699 GMDS -3.7926091430834 7.124770089703391e-14 1.4592320784833624e-11
ENSG00000112964 GHR -3.273539844180116 1.3321074435402507e-5 9.743943058245015e-4
ENSG00000113273 ARSB -1.5321687241326314 4.302659716588842e-23 1.934412842826393e-20
ENSG00000113391 ARB2A -0.9120239019557784 6.008149935764602e-7 5.593344836664087e-5
ENSG00000114270 COL7A1 -0.6866146309860919 3.509355910088696e-7 3.459249063671922e-5
ENSG00000114670 NEK11 -2.182872189354792 1.9006048703147152e-6 1.6294813755586579e-4
ENSG00000114790 ARHGEF26 0.7593606809041535 4.4133625481339925e-8 5.214840503189351e-6
ENSG00000115129 TP53I3 0.7823942280202891 1.852888489660933e-5 0.0012986423395406836
ENSG00000115318 LOXL3 -0.8198335596127126 1.8812846189501522e-10 2.819326778951883e-8
ENSG00000116117 PARD3B -3.833561437347029 1.2830895440524438e-33 1.1825594782759347e-30
