"first_column"	"average_specific_columns"
"ENSG00000000003"	29.2188058129421
"ENSG00000000005"	0
"ENSG00000000419"	75.3802396741721
"ENSG00000000457"	5.08567116285735
"ENSG00000000460"	3.22903043459351
"ENSG00000000938"	0.439949536248907
"ENSG00000000971"	2.55615427408973
"ENSG00000001036"	82.5855881398786
"ENSG00000001084"	21.3988573165676
"ENSG00000001167"	32.2642425185958
"ENSG00000001460"	7.17800848019406
"ENSG00000001461"	18.0616103537225
"ENSG00000001497"	18.6704826712723
"ENSG00000001561"	0.0275450210101043
"ENSG00000001617"	0.149219994769542
"ENSG00000001626"	0.140110234484125
"ENSG00000001629"	39.4907051837616
"ENSG00000001630"	27.7195870348863
"ENSG00000001631"	3.21449941706886
"ENSG00000002016"	7.20931676646373
"ENSG00000002079"	0.0143737064113327
"ENSG00000002330"	45.9145525321277
"ENSG00000002549"	191.408761208779
"ENSG00000002586"	400.46225932129
"ENSG00000002587"	0.147263544189697
"ENSG00000002726"	0.105195666650736
"ENSG00000002745"	0.00771423634766464
"ENSG00000002746"	0.0385278318905248
"ENSG00000002822"	16.9612962407282
"ENSG00000002834"	148.610199829187
"ENSG00000002919"	28.625973138025
"ENSG00000002933"	0.913403373335731
"ENSG00000003056"	166.833910869474
"ENSG00000003096"	2.77710679734146
"ENSG00000003137"	0.104246300190961
"ENSG00000003147"	4.82218587723135
"ENSG00000003249"	95.9051873282796
"ENSG00000003393"	19.9726059005016
"ENSG00000003400"	0.13169284187578
"ENSG00000003402"	5.81772634083418
"ENSG00000003436"	1.47136583482569
"ENSG00000003509"	8.54855685244354
"ENSG00000003756"	20.721223175823
"ENSG00000003987"	0.286583759887856
"ENSG00000003989"	31.2200731162742
"ENSG00000004059"	195.429842201356
"ENSG00000004139"	3.51381885017421
"ENSG00000004142"	183.134068676126
"ENSG00000004399"	36.7958075632927
"ENSG00000004455"	78.8500040605371
"ENSG00000004468"	0.389898790094429
"ENSG00000004478"	91.1194814412057
"ENSG00000004487"	47.7153964248822
"ENSG00000004534"	22.9583585391229
"ENSG00000004660"	3.61104263296877
"ENSG00000004700"	37.0602569913272
"ENSG00000004766"	10.2610628149687
"ENSG00000004776"	10.3069653680836
"ENSG00000004777"	4.28776824324622
"ENSG00000004779"	134.144752389857
"ENSG00000004799"	24.0319460511352
"ENSG00000004809"	0.0531668971856812
"ENSG00000004838"	0.982677185800413
"ENSG00000004846"	107.662534419733
"ENSG00000004848"	0.105001070317556
"ENSG00000004864"	56.0053257920307
"ENSG00000004866"	99.2096347079362
